Venue,Title,Authors,Semantic Scholar URL
ArXiv,FenceMask: A Data Augmentation Approach for Pre-extracted Image Features,"Pu Li
Xiangyang Li
Xiang Long",https://www.semanticscholar.org/paper/2591a3d9aaab7013ec54f0730bb941a152c4e5d2
ArXiv,Designing Data Augmentation for Simulating Interventions,"Maximilian Ilse
J. Tomczak
Patrick Forré",https://www.semanticscholar.org/paper/781ab7b0d85289a38da3172db1b02e0b6c649db6
ArXiv,Improving Auto-Augment via Augmentation-Wise Weight Sharing,"Keyu Tian
Chen Lin
Ming Sun
L. Zhou
J. Yan
Wanli Ouyang",https://www.semanticscholar.org/paper/44781c99ebd5f8d4719b915bf07c564feef9deb0
ArXiv,Data Augmentation Revisited: Rethinking the Distribution Gap between Clean and Augmented Data,"Z. He
Lingxi Xie
X. Chen
Y. Zhang
Yanfeng Wang
Q. Tian",https://www.semanticscholar.org/paper/27195aefd6960862686bb7acd612eb1ce9557669
ArXiv,Selective Synthetic Augmentation with Quality Assurance,"Y. Xue
Jiarong Ye
L. Long
S. Antani
Zhiyun Xue
Xiaolei Huang",https://www.semanticscholar.org/paper/75e94d51eab1740b07ffe2d6e305457431ca4dde
ArXiv,Maximum-Entropy Adversarial Data Augmentation for Improved Generalization and Robustness,"Long Zhao
Ting Liu
Xi Peng
Dimitris Metaxas",https://www.semanticscholar.org/paper/3cc790c0970bae6c54b619ce05bebb4ed6a34bec
ArXiv,Robust Image Classification Using A Low-Pass Activation Function and DCT Augmentation,"Md Tahmid Hossain
Shyh Wei Teng
F. Sohel
G. Lu",https://www.semanticscholar.org/paper/fec47dcc2c8b844f26c8c088ecc91c6b64646dd6
ArXiv,Exemplar VAEs for Exemplar based Generation and Data Augmentation,"Sajad Norouzi
David J. Fleet
Mohammad Norouzi",https://www.semanticscholar.org/paper/9f2d1a266b1566b6fb1e70ba339d3c0e529f8348
ArXiv,Learning Loss for Test-Time Augmentation,"Ildoo Kim
Y. Kim
S. Kim",https://www.semanticscholar.org/paper/ed6f5f1061fc39897b024167fb863e57a5be5037
ArXiv,Reinforcement Learning with Augmented Data,"M. Laskin
Kimin Lee
Adam Stooke
Lerrel Pinto
P. Abbeel
A. Srinivas",https://www.semanticscholar.org/paper/bd39d33dc130ccc1406e55a9d49f73874d75ad91
ArXiv,Learning Temporally Invariant and Localizable Features via Data Augmentation for Video Recognition,"T. Kim
H. Lee
MyeongAh Cho
H. Lee
Dong Heon Cho
Sangyoun Lee",https://www.semanticscholar.org/paper/24b300420bd814e48b59a3419a22d706da6c4191
ArXiv,Image Augmentations for GAN Training,"Zhengli Zhao
Zizhao Zhang
Ting Chen
Sameer Singh
Han Zhang",https://www.semanticscholar.org/paper/ea3f723fb512dce514b58e5da593af554bf76fef
ArXiv,Unsupervised Few-shot Learning via Distribution Shift-based Augmentation,"Tiexin Qin
Wenbin Li
Y. Shi
Yang Gao",https://www.semanticscholar.org/paper/29cc4753ede340fc938c384a3e72a4e492c2b990
ArXiv,Combining Ensembles and Data Augmentation can Harm your Calibration,"Yeming Wen
Ghassen Jerfel
R. Muller
Michael W. Dusenberry
Jasper Snoek
Balaji Lakshminarayanan
Dustin Tran",https://www.semanticscholar.org/paper/8c76b4f7a77523e88a32d5d798b03bbf615cb12f
ArXiv,Data augmentation as stochastic optimization,"B. Hanin
Y. Sun",https://www.semanticscholar.org/paper/38ce386e78275a16d79c8f690dc087b49d6bd757
ArXiv,Efficient Active Learning for Automatic Speech Recognition via Augmented Consistency Regularization,"Jihwan Bang
Hee-su Kim
Youngjoon Yoo
Jung-Woo Ha",https://www.semanticscholar.org/paper/03c8193cf05100a8ecc0f32d54210e9ea73a56b7
ArXiv,"Data-Efficient Deep Learning Method for Image Classification Using Data Augmentation, Focal Cosine Loss, and Ensemble","Byeongjo Kim
Chanran Kim
Jaehoon Lee
Jein Song
Gyoung-Soo Park",https://www.semanticscholar.org/paper/c9fa9dee25c595bee6a8d61d7ff12f8a9335939d
ArXiv,DecAug: Augmenting HOI Detection via Decomposition,"Y. Xie
Haoshu Fang
Dian Shao
Yonglu Li
Cewu Lu",https://www.semanticscholar.org/paper/821ddd3782bdd4a6945ac69dc428d47b342256b5
BMC Bioinformatics,"CLoDSA: a tool for augmentation in classification, localization, detection, semantic segmentation and instance segmentation tasks","Á. Casado
C. Domínguez
M. García
J. Heras
Adrián Inés
E. Mata
V. Pascual",https://www.semanticscholar.org/paper/eb34b262179c9d79aa9f11ad7eb01f8ebc8f2b51
CD-MAKE,Improving short text classification through global augmentation methods,"Vukosi Marivate
T. Sefara",https://www.semanticscholar.org/paper/2a9e4ba46fbfc9221a388c12ca7a193304ee2d27
